<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20140723,0,34.8703
USDRUB,D,20140724,0,35.0395
USDRUB,D,20140725,0,35.1235
USDRUB,D,20140726,0,35.1194
USDRUB,D,20140727,0,35.1273
USDRUB,D,20140728,0,35.5195
USDRUB,D,20140729,0,35.7995
USDRUB,D,20140730,0,35.5805
USDRUB,D,20140731,0,35.7171
USDRUB,D,20140801,0,35.7465
USDRUB,D,20140802,0,35.7465
USDRUB,D,20140803,0,35.7654
USDRUB,D,20140804,0,35.8188
USDRUB,D,20140805,0,36.0885
USDRUB,D,20140806,0,36.1917
USDRUB,D,20140807,0,36.2855
USDRUB,D,20140808,0,36.1385
USDRUB,D,20140809,0,36.1627
USDRUB,D,20140810,0,36.1699
USDRUB,D,20140811,0,35.9075
USDRUB,D,20140812,0,36.1662
USDRUB,D,20140813,0,36.0325
USDRUB,D,20140814,0,36.0055
USDRUB,D,20140815,0,36.1225
USDRUB,D,20140816,0,36.1284
USDRUB,D,20140818,0,36.0509
USDRUB,D,20140819,0,36.1535
USDRUB,D,20140820,0,36.3045
USDRUB,D,20140821,0,36.0035
USDRUB,D,20140822,0,36.1025
USDRUB,D,20140823,0,36.1116
USDRUB,D,20140824,0,36.105
USDRUB,D,20140825,0,36.127
USDRUB,D,20140826,0,36.1195
USDRUB,D,20140827,0,36.1475
USDRUB,D,20140828,0,36.7626
USDRUB,D,20140829,0,36.9947
USDRUB,D,20140830,0,37.0662
USDRUB,D,20140901,0,37.3183
USDRUB,D,20140902,0,37.4323
USDRUB,D,20140903,0,36.8247
USDRUB,D,20140904,0,36.9752
USDRUB,D,20140905,0,36.874
USDRUB,D,20140906,0,36.9459
USDRUB,D,20140907,0,36.9394
USDRUB,D,20140908,0,37.0594
USDRUB,D,20140909,0,37.0713
USDRUB,D,20140910,0,37.2838
USDRUB,D,20140911,0,37.594
USDRUB,D,20140912,0,37.8119
USDRUB,D,20140913,0,37.773
USDRUB,D,20140914,0,37.7612
USDRUB,D,20140915,0,38.392
USDRUB,D,20140916,0,38.3495
USDRUB,D,20140917,0,38.4229
USDRUB,D,20140918,0,38.4541
USDRUB,D,20140919,0,38.4295
USDRUB,D,20140920,0,38.43
USDRUB,D,20140921,0,38.4282
USDRUB,D,20140922,0,38.6927
USDRUB,D,20140923,0,38.5941
USDRUB,D,20140924,0,38.1611
USDRUB,D,20140925,0,38.4921
USDRUB,D,20140926,0,39.1671
USDRUB,D,20140927,0,39.1474
USDRUB,D,20140929,0,39.4452
USDRUB,D,20140930,0,39.5944
USDRUB,D,20141001,0,39.6621
USDRUB,D,20141002,0,39.542
USDRUB,D,20141003,0,39.9861
USDRUB,D,20141004,0,39.9971
USDRUB,D,20141005,0,40.1758
USDRUB,D,20141006,0,39.7201
USDRUB,D,20141007,0,39.8873
USDRUB,D,20141008,0,39.9721
USDRUB,D,20141009,0,40.065
USDRUB,D,20141010,0,40.3461
USDRUB,D,20141011,0,40.3614
USDRUB,D,20141012,0,40.3301
USDRUB,D,20141013,0,40.5041
USDRUB,D,20141014,0,40.9465
USDRUB,D,20141015,0,40.3997
USDRUB,D,20141016,0,40.831
USDRUB,D,20141017,0,40.7201
USDRUB,D,20141018,0,40.7036
USDRUB,D,20141020,0,41.0331
USDRUB,D,20141021,0,40.9362
USDRUB,D,20141022,0,41.387
USDRUB,D,20141023,0,41.7007
USDRUB,D,20141024,0,41.882
USDRUB,D,20141025,0,41.8974
USDRUB,D,20141026,0,41.8589
USDRUB,D,20141027,0,42.2587
USDRUB,D,20141028,0,42.4345
USDRUB,D,20141029,0,43.1886
USDRUB,D,20141030,0,41.59
USDRUB,D,20141031,0,43.0322
USDRUB,D,20141101,0,43.0233
USDRUB,D,20141103,0,43.5873
USDRUB,D,20141104,0,43.5678
USDRUB,D,20141105,0,44.9
USDRUB,D,20141106,0,46.832
USDRUB,D,20141107,0,46.6655
USDRUB,D,20141108,0,46.7041
USDRUB,D,20141110,0,45.7775
USDRUB,D,20141111,0,46.43
USDRUB,D,20141112,0,45.8205
USDRUB,D,20141113,0,46.7193
USDRUB,D,20141114,0,47.2775
USDRUB,D,20141115,0,47.2227
USDRUB,D,20141116,0,47.265
USDRUB,D,20141117,0,47.1481
USDRUB,D,20141118,0,46.8899
USDRUB,D,20141119,0,46.8125
USDRUB,D,20141120,0,46.1357
USDRUB,D,20141121,0,45.6897
USDRUB,D,20141122,0,45.7616
USDRUB,D,20141124,0,45.0013
USDRUB,D,20141125,0,46.2355
USDRUB,D,20141126,0,47.42
USDRUB,D,20141127,0,49.1342
USDRUB,D,20141128,0,50.4397
USDRUB,D,20141129,0,50.0231
USDRUB,D,20141201,0,51.1845
USDRUB,D,20141202,0,54.1825
USDRUB,D,20141203,0,53.2877
USDRUB,D,20141204,0,54.3835
USDRUB,D,20141205,0,52.7985
USDRUB,D,20141206,0,52.972
USDRUB,D,20141207,0,52.972
USDRUB,D,20141208,0,53.717
USDRUB,D,20141209,0,54.1125
USDRUB,D,20141210,0,54.865
